"BFH1_S123"	"BFH10_S128"	"BFH11_S129"	"BFH12_S130"	"BFH13_S131"	"BFH14_S132"	"BFH15_S133"	"BFH16_S134"	"BFH17_S135"	"BFH18_S136"	"BFH19_S137"	"BFH20_S138"	"BFH21_S139"	"BFH22_S140"	"BFH23_S141"	"BFH25_S143"	"BFH28_S146"	"BFH29_S147"	"BFH30_S148"	"BFH31_S149"	"BFH32_S150"	"BFH33_S151"	"BFH34_S152"	"BFH35_S153"	"BFH36_S154"	"BFH37_S155"	"BFH38A_S156"	"BFH39_S158"	"BFH4_S124"	"BFH40_S159"	"BFH41_S160"	"BFH6_S125"	"BFH8_S126"	"BFH9_S127"	"BH01_S76"	"BH02_S77"	"BH03_S78"	"BH05_S80"	"BH06_S81"	"BH07_S82"	"BH09_S83"	"BH27_S92"	"BH29_S93"	"BH30_S94"	"BH34A_S98"	"BH35_S100"	"BH36_S101"	"BH37_S102"	"BH38_S103"	"BH39_S104"	"BH44_S105"	"BH46_S107"	"BH47_S108"	"BH48_S109"	"BH49_S110"	"BH50_S111"	"BH58_S113"	"BH60_S115"	"BH61_S116"	"FH1_S162"	"FH2_S163"	"FH3_S164"	"FH4_S165"	"FH5_S166"	"FH6_S167"	"FH7_S168"	"FH9_S170"
"FosB_ARO:3000172_AAP08996.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.2864184830365e-05	0	0	0	0	0	0	0	0	0	0	0	0	1.63156091432674e-05	0	0	0	0	0	0	0	0	0	0	0	0
"OXA-280_ARO:3001735_ENV74419.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00018630068931255	0	0	0	0	0	0	0
"CMY-42_ARO:3002053_ADM21467.1"	0.00025841277133341	0.00024555276656117	0.0036498294970162	0.00789249146757679	0.00177060385826934	0.0030086285195277	0.0516475331946478	0.00902881736526946	0.00361271676300578	0.00537979765537177	0.00303432977933098	0.0191294851244473	0.00198957189901207	0.00689071816137484	0.00878929182461673	0.0169872487572941	0.0143664929180557	0.00541579025820236	0.00827584649603143	0.00538714390065741	0.00400643504625189	0.00689776526482492	0.00183014115643177	0.00963991299911388	0.0107825200203953	0.00846987871665817	0.0047479227837821	0.0111567438698442	0.000276674374024229	0.00467904497145668	0.00652629478095998	0.0073215075426269	0.0372564541252777	0.000197272704855374	0.000128957379586047	0.00604827232879832	0.0137527727364388	8.25945707835472e-05	0	0.00763834762275916	0	0.0111875522407253	0.00164086584678622	0.00118086307198055	0.00180737738587507	0.00681980451535071	0.0156703066197791	0.00505296253321855	0.00496744030722992	0.00118619941706771	0.00104730949801372	0.000457833531727864	0.00326268103185222	0.00570536527346726	0.00135419555889119	0.000858331315887933	0.000661650724034935	0.000312833535755033	0.00525091891080939	6.21002297708502e-05	5.58323911617325e-05	1.45089447644473e-05	0.000169522468247138	2.40378837047186e-05	2.97066468622354e-05	0.000182870062508312	5.2949274594938e-05
"vatH_ARO:3002845_ACX92987.1"	0	0	0	0	0	0	0	0	0	0	0	1.76146271864156e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14402077541728e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.05222354485242e-05	2.34725254090088e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"vanI_ARO:3003723_KTE89608.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14134404674945e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.03307118370639e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.07000765902834e-05	0	2.90178895288946e-05	0	0	0	0	0
"CTX-M-35_ARO:3001897_BAD83775.1"	0	0	0	0	0	0	0	0	0	0	1.04632061356241e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CrpP_ARO:3004468_AEQ93536.1"	0	0	0	0	0	0	0	0	0	0	0	0	3.43029637760703e-05	0	0	0	0	0.00175557727024297	7.90326404805185e-05	0	0	0	0	0	0	2.21724573734507e-05	0	0	0	0	0	0	0	0	0	1.42312290089372e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OXA-21_ARO:3001416_CAA71699.2"	0.000746525783852073	5.45672814580378e-05	0.000719309462915601	0.000213310580204778	6.17652508698606e-05	5.67665758401453e-05	0.000282507640547551	0.00032747005988024	0.000277901289461983	0.000133825812322681	0.0005650131313237	0.00213136988955629	0.000205817782656422	0.000226939819685998	0.000318695695930759	0.00164253295872055	0.00046046451660435	0.000281554845227645	0.000203226789807047	0.000102720964207451	0.000556879002567831	8.21162531526776e-05	0.00110533277764691	0.00175881421014473	0.000509882726972796	3.3258686060176e-05	0.000437308677453614	0.000530830050568547	0.000118574731724669	0.000263124778345975	0.000159664704121345	0.000884477421256941	5.1071218814637e-05	0	0.00960732477916049	0.000270393351169807	0.000443637830207703	0.000220252188756126	6.03737132852356e-05	2.5980774227072e-05	6.71028350947827e-05	0.000192888831736642	0.000762422514668346	0.000833550403750977	0.000602459128625024	0.00162493537188862	0.000904847101404569	0.000786016394056219	0.000208715979295375	0.000406696942994645	0.000325027085590466	0.000183133412691146	0.000704175762270263	0.000446022040922522	0.000995252157739309	0.000462178400862733	0.000567129192029944	0.000625667071510066	0.00105018378216188	0.0001242004595417	0.000348952444760828	0.000130580502880026	1.30401898651644e-05	0	0	9.97473068227158e-05	3.52995163966254e-05
"tetQ_ARO:3000191_CAA79727.1"	0.00571379349948317	0.00395612790570774	0.00642050298380222	0.00305745164960182	0.00146177760392003	0.00434264305177112	0.000770475383311503	0.0178003368263473	0.00050022232103157	0.0545206359402602	0.00163226015715736	0.00292402811294499	0.00168084522502744	0.035526397227208	0.000385789526653024	0.00319861681435055	0.000349953032619306	0.00177213931996224	0.042655045105057	0.00518170197224251	0.0284162979921418	0.0121180127866737	0.0126660264192654	0.000563894632260143	0.00800815812363156	0.000764949779384049	0.0167530871910206	0.0266346306074745	0.0203750914013557	0.0190593861184519	0.027831553737152	0.00601936022799862	0.0107504915604811	0.00453727221167361	0.00019343606937907	0.000825411282518358	0.0174631982254487	0.00944331259291889	0.0702448154073716	0.00267601974538841	0.00104009394396913	0.00102874043592876	0.0131766499817682	0.0332899192498046	0.0414327573458937	0.0167171381441268	0.0110226828716557	0.0154208930643411	0.006678911337452	0.0280959804785467	0.00917298663777537	0.0384885389005891	0.0154918667699458	0.0297348027281682	0.02391868300403	0.0254858375332878	0.00735377518998828	0.00772882853041846	0.0212849748706024	0.017967666480366	0.0087238111190207	0.0184408687956125	0.00826748037451425	0.0017427465685921	0.0104121797252135	0.0210134326373188	0.00704225352112676
"OXA-214_ARO:3001713_AEV91553.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.31240994385465e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.55356094073185e-05	0	0	0	0	0	0	0	0	0	0	1.73656334114787e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dfrA28_ARO:3004551_CAT00035.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.12903772115026e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CTX-M-109_ARO:3001969_AEM44654.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.04121113679432e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.05647068501039e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
