gene	log2FoldChange
tet(W/32/O)_4_AM710605	1.67408185861212
tet(O/W/32/O/W/O)_1_DQ525023	1.6833878295686
blaCMY-118_1_KM087838	1.69266179816437
blaGES-5_1_DQ236171	1.6941616298811
tet(W/32/O)_1_AM710601	1.7127429428363
blaOXA-96_1_DQ519090	1.71589687458553
qnrB55_1_KF730650	1.7291887198492
tet(W/32/O)_2_AM710602	1.73064519619519
blaTEM-97_1_AF397067	1.75409793709053
blaOXA-397_1_KM087865	1.78932936592504
tet(W)_3_AJ427421	1.79332588512044
blaOXA-97_1_EF102240	1.79419464521905
tet(W)_5_AJ427422	1.80603453690534
blaGES-14_1_GU207844	1.81663163092472
blaOXA-512_1_KU726870	1.82004992475822
tet(O/W/32/O)_2_FM164392	1.82038275632186
tet(S/M)_2_AY534326	1.82704210271157
aadA10_1_U37105	1.8282858016923
tet(W)_4_FN396364	1.84521177712116
blaTEM-171_1_GQ149347	1.8661929148017
blaTEM-231_1_MG821378	1.87083929970042
tet(O/W)_3_AM889120	1.89436641871232
blaOXA-58_1_AY665723	1.90131375704151
aph(3')-IIc_1_AM743169	1.91725847782412
blaCMY-9_1_AB061794	1.92690408240783
fosA2_1_EU487198	1.93610059405012
blaCMY-8_1_AB201268	1.95345412112046
tet(O/32/O)_3_NZ_AUJS01000017	1.95400711452689
tet(W/32/O)_3_AM710603	1.95853776497806
tet(O/32/O)_4_AIOQ01000025	1.95949714595051
mcr-3.12_1_MG564491	1.96182471630056
tet(O/32/O)_5_FP929050	1.97120463569278
aph(3')-VIa_1_X07753	1.99866491178435
aac(6')-Ii_1_L12710	2.02331553661816
mcr-3.17_1_MH332767	2.05090689749804
tet(E)_3_CP000645	2.05660687707635
blaOXA-164_1_GU831575	2.07324571017258
blaCMY-1_1_X92508	2.08001053735427
tet(O/W)_4_AM889121	2.09116709220141
tet(O/W)_5_AM889122	2.11561762637965
blaOXA-283_1_AYHO01000005	2.1289210690827
tet(O/W)_1_AM889118	2.15546397774068
blaGES-16_1_HM173356	2.16615877583669
cphA7_1_AY227053	2.17323146724575
tet(O)_3_Y07780	2.17614170049134
aph(3')-VI_1_KC170992	2.18061716151176
cphA1_2_AY261377	2.18729777266907
aadA1b_1_M95287	2.19604910812474
aac(6')-IIa_1_M29695	2.20043834009481
tet(S)_1_DQ377340	2.22621910992812
blaVIM-48_1_KY362199	2.22732461079508
tet(S)_3_X92946	2.23103697903906
tet(S)_2_L09756	2.24004781453111
blaMOX-6_1_GQ152601	2.24528422008964
dfrB1_1_U36276	2.26854627372653
blaOXA-9_1_KQ089875	2.30506144478776
tet(W)_2_AY049983	2.33797068370209
aac(3)-Ia_1_X15852	2.38921888476108
mdf(A)_1_Y08743	2.39915777090171
mcr-7.1_1_MG267386	2.41739613351006
mef(A)_2_U83667	2.4823035867247
blaMOX-7_1_GQ152602	2.53070764292918
blaMOX-5_1_GQ152600	2.66917584282385
fosA_2_AGDM01000012	2.72772886161788
blaMOX-2_1_AJ276453	2.74779822555761
cphA1_1_AY261379	2.76357767985999
blaACT-1_1_U58495	2.91100570580368
blaVIM-24_1_HM855205	2.9423508413966
blaVIM-20_1_GQ414736	2.96851459645791
aac(3)-Ib_1_L06157	3.01498355182817
blaVIM-51_1_KU746270	3.0747098251128
msr(C)_1_AY004350	3.07724834745007
blaVIM-50_1_KU663375	3.07895381591325
ampS_1_X80276	3.08225122190054
mcr-9_1_NZ_NAAN01000063.1	3.12726230513006
blaVIM-31_1_JN982330	3.14266986046095
blaVIM-41_1_KP771862	3.14775095614222
blaVIM-23_1_GQ242167	3.19899449132472
qnrB8_1_EU043312	3.21750028538423
erm(T)_4_AJ488494	3.24447854243447
blaMOX-4_1_FJ262599	3.24627711301316
erm(B)_15_U48430	3.25265295603861
aph(3')-VI_2_APPJ01000012	3.25282937652849
mph(E)_2_JF769133	3.29657072761757
ant(6)-Ia_3_KF864551	3.30878448346878
catB1_1_M58472	3.32667346435745
blaVIM-3_1_AF300454	3.33142136541134
mph(E)_1_DQ839391	3.34513143212331
msr(E)_1_FR751518	3.35989864783643
blaVIM-45_1_KP681695	3.37671990833231
erm(B)_23_X72021	3.38476636060364
catS_1_X74948	3.39679892562915
erm(B)_12_U18931	3.39936970863024
erm(B)_7_AF368302	3.40237187204775
blaVIM-17_1_EU118148	3.42966001994167
blaVIM-6_1_AY165025	3.44571231624811
ant(6)-Ia_5_AB247327	3.46162036641816
cphA1_7_X57102	3.47675355773605
imiS_1_Y10415	3.48225315671192
erm(B)_2_K00551	3.49607096920695
blaVIM-11_1_AY605049	3.51228672823102
blaVIM-30_1_JN129451	3.51757043173011
blaVIM-46_1_KP749829	3.53841662626833
tet(39)_1_KT346360	3.53923363988195
blaMOX-3_1_EU515248	3.54389556470822
erm(B)_1_JN899585	3.55091321369957
blaVIM-16_1_EU419746	3.56990068627744
ant(6)-Ia_1_AF330699	3.58834876344283
erm(B)_26_AF080450	3.59249883896441
blaVIM-56_1_MG834535	3.63397816176089
erm(B)_11_M19270	3.68797688100449
ampH_1_AJ276031	3.71483376516616
erm(B)_6_AF242872	3.72625438982591
blaVIM-10_1_AY524989	3.74144771991982
ampH_2_HQ586946	3.80726140912958
blaVIM-2_1_AF302086	3.82681207328852
blaVIM-15_1_EU419745	3.84503438360449
imiH_1_AJ548797	3.87938671516388
erm(B)_9_AF299292	3.93882847580037
blaVIM-36_1_JX982635	3.95216302999687
aac(3)-I_1_AJ877225	3.97687085903376
erm(B)_18_X66468	4.0108181683256
aph(3')-IIIa_2_AJ490186	4.03434087741856
aph(3')-III_1_M26832	4.0505092125159
blaOXA-20_2_AF024602	4.05554144039119
erm(B)_22_X52632	4.05685448487466
blaOXA-427_1_KX827604	4.09687506437249
aph(3')-IIIa_1_AF330699	4.13556264245819
erm(B)_21_U35228	4.17748860262996
aac(3)-IIIc_1_L06161	4.18773519710818
aph(3')-IIIa_3_AB247327	4.20096836884586
qnrB35_1_JN173057	4.26159644170674
qnrB38_1_JN173060	4.26692918684582
erm(B)_10_U86375	4.41131369787774
blaVIM-9_1_AY524988	4.52392556405698
dfrA3_1_J03306	4.53519924212805
blaOXA-280_1_APPZ01000001	4.63175103733686
cphA2_6_AHU60294	4.65137776659715
mef(A)_3_AF227520	4.79074726076069
VanC4XY_1_EU151752	4.91629543031163
qnrB21_1_FJ611948	5.39656503775757
VanHAX_1_FJ866609	5.43432258838415
aadA11_2_AJ567827	5.50306356323034
blaOXA-275_1_APPJ01000001	5.62294131780886
VanHBX_1_AF192329	5.73897353104812
VanHAX_2_M97297	5.92363057554693
VanHOX_1_KF478993	6.2781833008229
blaOXA-309_1_HF947514	6.31266627133308
blaOXA-212_1_JN861780	6.41254409497063
blaOXA-373_1_HG931732	6.44793877298973
blaOXA-281_1_APON01000041	6.56193801989477
aac(6')-Ig_1_L09246	6.85694048460923
blaOXA-211_1_JN861779	6.88308482568234
blaOXA-333_1_KF203107	7.02176250023673
blaOXA-296_1_APOH01000009	7.38724806370005
blaOXA-334_1_KF203108	7.70076368042869
blaOXA-299_1_APQD01000016	7.85226605333583
