GENE	BFH12_S130	BH09_S83	BFH35_S153	CP1	SWESTP30	CP5	BSE93_S121	BH47_S108	BH52_S112	BH36_S101	SWE41a	IRL69_2	SWE41a_1	BFH33_S151	BFH9_S127	FH6_S167	BH10_S84	ESP75	SWESTP53	BFH15_S133	AHMA4	BFH22_S140	BFH31_S149	BH50_S111	BH30_S94	BFH32_S150	FIN25_1	BFH6_S125	ESP75_2	SWESTP33	BFH8_S126	BSE100_S122	BFH20_S138	BFH21_S139	BFH14_S132	BFH24_S142	FH1_S162	BH06_S81	BSE79_S120	SWESTP31	BH34A_S98	ASMA1	DEU27_1	BH20_S88	BFH17_S135	BH31_S95	DEU27	BH11_S85	BFH36_S154	ESP75_1	BH22_S89	BH45_S106	BH61_S116	FH5_S166	BFH25_S143	BFH41_S160	IRL69	BFH18_S136	BH59_S114	BH13_S86	BH03_S78	BH38_S103	BFH40_S159	AHMA5	BFH38B_S157	BH33_S97	BH32_S96	BFH13_S131	AHMA2	BFH4_S124	AHMA3	BFH10_S128	BFH39_S158	CP7	JTH	BFH19_S137	CP6	BH37_S102	FH8_S169	Seafield	SWE41a_2	BH04_S79	CP8	BH25_S91	SWE41	BH01_S76	BFH23_S141	BH58_S113	SWESTP49	ASMA3	CP4	FIN25	BH14_S87	BSE74_S119	BH05_S80	BFH1_S123	SWESTP57	FH3_S164	BH63_S118	BH48_S109	BFH34_S152	BFH28_S146	BH07_S82	BFH11_S129	BH44_S105	FH10_S171	FH9_S170	BFH27_S145	BFH29_S147	IRL69_1	FH7_S168	BFH16_S134	DEU27_2	FH4_S165	SWESTP35	BH02_S77	BH29_S93	SWESTP37	BH39_S104	BH60_S115	BH62_S117	BH27_S92	BFH26_S144	BH35_S100	ASMA2	BFH37_S155	FH2_S163	BFH42_S161	BH46_S107	CP3	BH24_S90	FIN25_2	BH34B_S99	AHMA1	BFH38A_S156	BH49_S110	BFH30_S148
2441_tnpA1_FR875157.1	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	2	0	1	2	0	0	0	0	0	9	0	0	4	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	6	0	0	0	1	1	0	1	0	0	0	0	0	0	2	0	1	0
2746_tnpA_AM420293.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
2362_tnpA_AJ250371.1	124	527	988	1393	864	2496	2338	4519	598	411	1343	535	1008	246	291	419	808	981	992	614	635	60	49	107	141	1306	158	248	2262	857	592	14	236	6927	726	3	519	19	1397	965	58	3	363	3	619	130	347	507	425	2524	4	145	26	118	353	212	1767	46	186	173	247	676	202	840	1197	19	1231	463	641	21	1870	59	70	1048	256	759	427	162	553	1407	406	19	1393	9	1588	4162	317	72	614	629	1069	946	37	14	404	196	918	851	4	174	1377	1966	45	216	103	5	296	7	317	1398	835	69	190	537	938	108	205	737	59	34	10	118	103	281	182	112	2390	68	304	1301	8	958	58	800	1357	444	156
1501_tnpA_LO018305.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
2493_tnpA_U03554.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
337_tnpA_KF295829.1	9	2610	3626	39	29	28	32	34	67	264	4	0	1	2490	3	26	1397	7	1	25	975	70	3703	30	189	47	1	236	6	22	53	7	380	137	11	10	3378	12	1	20	50	0	2	5	27	34	5	11	526	6	13	333	9	8	741	808	5	19	2552	1187	27	93	227	10	691	18	345	14	1282	9	1081	5	1968	8	395	8692	7	72	63	11	0	4	4	140	21	38	7818	3694	0	4	5	2	10	3	6	12	8	9	1	1076	215	1181	15	12	366	12	12	19	263	0	61	61	1	66	21	2298	329	31	26	5621	16	36	1402	108	38	5378	31	18	8	8	7	1	53	366	739	736	2340
611_tnpA_X98999.3	0	2	41	36	34	10	17	0	0	2	1	2	3	4	1	8	4	5	1	15	17	1	0	0	0	13	1	2	0	5	17	1	2	1	0	0	9	1	0	5	0	0	2	0	0	0	0	0	206	1	0	0	0	0	22	4	7	1	17	0	0	0	0	5	2	0	1	0	9	0	76	2	0	18	4	16	148	3	0	70	0	0	25	0	4	3	7	4	0	2	16	6	0	0	0	0	3	1	0	1	6	1	1	1	0	1	70	0	0	3	2	0	0	0	5	16	3	26	1	0	0	0	1	0	29	4	4	0	0	14	1	4	0	11	4	3	0
1279_tnpAc_CCYE01000010.1	0	0	24	3	5	7	8	0	0	0	0	0	1	0	0	2	1	0	0	3	46	1	0	0	0	3	0	1	0	6	0	0	1	0	0	0	4	0	0	4	0	5	0	0	0	0	0	0	71	2	0	0	0	1	9	0	9	1	1	3	0	0	0	9	0	0	0	0	10	0	71	0	0	4	4	2	1	0	2	5	1	0	8	0	1	1	2	0	0	12	0	1	0	0	0	0	0	4	0	1	5	1	0	0	0	0	26	0	0	6	3	0	0	0	2	0	0	3	0	0	0	0	1	0	0	0	3	0	0	5	0	0	0	25	1	0	0
1331_tnpAc_AB088420.3	0	2	53	5	32	6	10	0	0	1	9	2	4	1	0	0	4	1	0	5	66	0	3	1	0	10	2	0	1	6	0	0	0	0	0	0	9	0	0	13	0	0	3	0	0	0	0	0	119	0	0	0	0	1	13	0	9	6	0	1	0	0	0	17	5	0	0	0	33	0	182	0	0	4	12	5	4	0	3	20	4	0	13	0	6	1	1	0	0	0	2	3	0	0	0	0	3	11	0	2	7	2	2	4	1	0	58	0	0	10	3	0	0	0	9	1	0	9	0	0	0	0	7	0	7	1	6	0	0	2	0	1	0	50	3	0	0
2096_tnpA_AB375440.1	0	8	106	3	4	0	2	0	0	2	0	0	2	0	0	0	4	0	0	8	4	0	2	1	0	2	0	1	0	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	18	0	0	0	1	3	6	0	0	1	33	1	0	0	0	7	1	0	1	2	3	0	342	0	0	1	0	1	0	0	0	1	0	0	0	0	0	3	3	19	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	2	1	0	32	1	332	1	0	0	0	1	5	3	1	0	0	0	0	0	2	0	0	1	1	0	0	2	0	0	2	6	4	0	10
