gene	log2FoldChange
tet(44)_1_NZ_ABDU01000081	-2.06401907903637
blaPAU-1_1_MH053445	-2.04732357100147
sul2_13_AJ289135	-2.02480379913726
blaOXA-4_1_AY162283	-2.01689885565694
aac(3)-IIa_1_X51534	-2.00588009662667
blaCMY-156_1_MF770636	-1.99681078604654
blaOXA-74_1_EU161636	-1.9963553111752
blaCMY-12_1_Y16785	-1.98721414801991
sul2_11_AY232670	-1.98123874531915
blaCMY-6_1_AJ011293	-1.97688520654783
ere(A)_6_DQ157752	-1.96184821970803
blaCMY-35_1_EF394371	-1.95226622591441
sul2_12_AF497970	-1.94352061605555
blaCMY-131_1_KP281294	-1.9265356029273
sul2_7_HM486907	-1.92526381766184
aadA15_1_DQ393783	-1.91020156213821
ant(3'')-Ia_1_X02340	-1.9080080050501
sul2_1_AF542061	-1.88014396717113
blaCMY-5_1_Y17716	-1.87703262983333
blaBIL-1_1_X74512	-1.86574973608961
blaCMY-154_1_MF196231	-1.8636790062593
tet(G)_3_S52437	-1.85668262769622
sul2_17_U57647	-1.85622955624036
blaOXA-142_1_LC169567	-1.85537895571943
blaCMY-28_1_EF561644	-1.85231564131637
blaOXA-534_1_KX714285	-1.85185766878349
dfrA1_2_HM055363	-1.85093463003564
blaOXA-520_1_KX388630	-1.83997537477015
blaOXA-233_1_KJ657570	-1.83869749825662
blaCMY-99_1_KF305673	-1.82587125581946
blaCMY-125_1_KM985463	-1.82305637350795
blaCMY-145_1_KX470426	-1.81801296026468
blaOXA-16_1_AF043100	-1.80696241054342
blaOXA-1_1_HQ170510	-1.80244504749449
blaOXA-14_1_KJ420612	-1.79259536722174
sul2_2_AY034138	-1.78524756753654
tet(32)_2_EF626943	-1.78473876586341
aph(3')-Ib_1_M20305	-1.75993631373005
sul2_18_AJ830714	-1.75397170772206
ant(2'')-Ia_4_AF458082	-1.75310546201885
sul2_21_AB366440	-1.73378343073977
aadA8b_1_AY139603	-1.73151614632466
blaOXA-19_1_AF043381	-1.72033344821874
floR_1_AF071555	-1.71271875352406
blaCMH-3_1_KX192165	-1.67663374695448
aph(2'')-Ia_2_AP009486	-1.67482619366681
blaOXA-183_1_HQ111474	-1.66291946769529
sul2_8_AJ877041	-1.64627564928966
mcr-5.2_1_MG384740	-1.63311423350952
aac(3)-IIa_2_AY138987	-1.63260677700462
blaOXA-10_1_J03427	-1.62400919873442
blaCMY-139_1_KU641016	-1.60840629150908
aadA8_1_AF326210	-1.60701063315239
blaCMY-76_1_JQ733573	-1.60520190657668
blaCMY-25_1_EU515249	-1.5944620022363
aac(6')-aph(2'')_1_M13771	-1.5749958141507
aadA24_1_DQ677333	-1.56325089298484
blaCTX-M-210_1_MH067960	-1.55949847422138
aadA22_1_AM261837	-1.5564253382485
aph(2'')-Ia_3_AJ536195	-1.53353489969873
erm(35)_1_AF319779	-1.52027449611127
aadA3_1_AF047479	-1.51318137973376
blaOXA-17_1_DQ902344	-1.50377745665003
sul2_3_HQ840942	-1.50316761694453
blaOXA-251_1_JN118546	-1.4936156738582
tet(G)_2_AF133140	-1.49112101127173
blaOXA-147_1_FJ848783	-1.44793432479278
aadA2_1_NC_010870	-1.43646934207061
sul2_5_AY524415	-1.41730030867342
aadA2b_1_D43625	-1.41409481797067
aadA17_1_FJ460181	-1.41112724455994
aadA23_1_AJ809407	-1.41053102889478
aph(6)-Id_3_AB109805	-1.35389147636956
aadA1_2_FJ591054	-1.3077887349291
aadA1_3_JQ414041	-1.2627232083095
aadA21_1_AY171244	-1.24547354251222
aadA8b_2_AM040708	-1.21502811810157
aadA2_2_JQ364967	-1.18396667419896
aph(3'')-Ib_1_M28829	-1.17533811372411
aadA12_1_AY665771	-1.17196911939824
floR_2_AF118107	-1.1418343652418
aph(3'')-Ib_5_AF321551	-1.10265066491291
blaTEM-35_1_KP860986	1.4248856189406
tet(W/32/O)_1_AM710601	1.42613304091214
blaTEM-198_1_AB700703	1.436182067548
qnrS3_1_EU077611	1.44798865177533
blaTEM-176_1_GU550123	1.47041363069949
tet(O/W/32/O)_2_FM164392	1.47481056653194
tet(W)_3_AJ427421	1.47571674169586
blaOXA-491_1_KU721148	1.48505071922976
mcr-3.1_1_KY924928	1.49866078655995
blaTEM-220_1_KM998962	1.49883113473791
blaTEM-215_1_KP050492	1.5021725246612
tet(W/32/O)_4_AM710605	1.52648178462387
blaTEM-104_1_AF516719	1.52660480872197
blaTEM-141_1_AY956335	1.55085085174083
tet(W/32/O)_3_AM710603	1.5557271829968
tet(O/W)-2_1_AY485122	1.56768188174093
qnrB66_1_KC580655	1.56883068763172
blaTEM-128_1_AY368237	1.57231544674702
cfr(C)_2_CANB01000378	1.57855749924863
tet(O/32/O)_4_AIOQ01000025	1.57983544520603
blaBKC-1_1_KP689347	1.59328693750858
tet(O/32/O)_3_NZ_AUJS01000017	1.6131016481106
qnrB41_1_JN166690	1.61730042924997
blaTEM-217_1_HG934763	1.62624766505095
mcr-3.4_1_FLXA01000011	1.6277936836064
tet(O/W/O)-2_1_AY196920	1.64092599774975
mcr-3.5_1_MF489760	1.64424660934819
blaTEM-148_1_AM087454	1.64435675590664
tet(W)_4_FN396364	1.64603616930904
blaVIM-44_1_KP681696	1.65071674007732
mcr-3.18_1_MH332768	1.65853457536194
dfrA12_10_FM877486	1.67989490715487
blaTEM-106_1_AY101578	1.6881642429098
blaTEM-36_1_KY305958	1.68881418813571
blaTEM-214_1_KP050491	1.69405958301875
cat(pC221)_1_X02529	1.69547937212395
blaPLA-6A_1_DQ251478	1.69948403383238
blaPLA1a_1_AY302757	1.69948403383238
tet(O/32/O)_5_FP929050	1.70240898378424
qnrB74_1_KJ415247	1.70490359882623
tet(S/M)_2_AY534326	1.7073754797929
aac(3)-Ia_1_X15852	1.71612193791417
tet(O/W/32/O)_5_JQ740053	1.72636629320954
tet(W)_2_AY049983	1.74288168742347
blaSMB-1_1_AB636283	1.79766759594768
tet(O/W)_3_AM889120	1.79776747180049
qnrS12_1_MKQI01000097	1.80232051314616
tet(O/W/O)-1_1_AY196921	1.81573147317901
tet(O/W)_5_AM889122	1.82003918970273
blaTEM-234_1_MH243353	1.82168768411044
aph(3')-Ia_1_V00359	1.82811891418102
blaTEM-233_1_MH270416	1.83084832005694
tet(O/W)_1_AM889118	1.8314782540079
blaCMY-98_1_KC603538	1.83525569151198
dfrA23_1_AJ746361	1.85027049045824
ant(6)-Ia_1_AF330699	1.85156176431375
mcr-3.21_1_NG060582	1.87054718432371
dfrA17_8_AM932673	1.8961782905264
blaTEM-1B_1_AY458016	1.89625941332382
blaCMY-9_1_AB061794	1.90640548860142
mph(F)_1_AM260957	1.93130899657105
blaTEM-216_1_KF944358	1.9414091186068
blaTEM-1A_1_HM749966	1.94219938062735
tet(S)_1_DQ377340	1.94334210543536
blaTEM-98_1_AF397068	1.94507053330915
aph(3')-IIIa_3_AB247327	1.94574341225883
mcr-3.17_1_MH332767	1.95139342369039
blaTEM-213_1_LJEE02000034	1.95957115322635
mcr-3.8_1_MF598078	1.99124778791536
blaTEM-164_1_EU274580	2.02237436964812
tet(O/W)_4_AM889121	2.03783788680432
blaTEM-143_1_DQ075245	2.04995810001709
blaTEM-186_1_JN227084	2.05875812791552
aadA1b_1_M95287	2.06650843269355
blaTEM-127_1_AY368236	2.07530220961809
blaOXA-20_1_AY307114	2.08185243270792
aph(3')-IIIa_1_AF330699	2.08793325495553
lsa(A)_1_AY225127	2.12440578232157
blaTEM-201_1_JX310327	2.12561106991978
blaTEM-29_1_DQ269440	2.13423671538935
tet(S)_2_L09756	2.13931344595884
blaTEM-196_1_JQ034306	2.14062100741822
mcr-3.10_1_MG214531	2.14067290772682
blaOXA-464_1_KU721146	2.14084460650623
qnrB9_1_EF526508	2.14370606574483
tet(S)_3_X92946	2.14878850378414
blaTEM-209_1_KF240808	2.17556760373239
blaTEM-1C_1_FJ560503	2.20508041363236
blaTEM-76_1_AF190694	2.20577385821786
blaOXA-20_2_AF024602	2.2117907288608
blaTEM-206_1_KC783461	2.22296101899284
cfxA6_1_GQ342996	2.22357853629987
blaTEM-40_1_FR717535	2.22388973428064
tetB(46)_1_HQ652506	2.23959946455817
blaTEM-34_1_KC292503	2.25364919374143
blaMIR-5_1_FJ237367	2.25455211009138
blaOXA-283_1_AYHO01000005	2.25666098505411
blaTEM-96_1_AY092401	2.27281131126541
oqxA_1_EU370913	2.27874309004362
erm(42)_2_AB601890	2.28223501118916
blaTEM-55_1_DQ286729	2.28293320406568
aph(3')-IIIa_2_AJ490186	2.29301473436622
dfrG_1_AB205645	2.30819924565904
aadA6_1_AF140629	2.33145485695524
dfrB1_1_U36276	2.34258399816578
aadA10_2_AM087405	2.36131367307993
fosA_6_ACZD01000244	2.38138695278362
aadA10_1_U37105	2.39092184645691
blaTEM-95_1_AJ308558	2.42850033747495
qnrB17_1_JN173051	2.43998298799951
tet(O)_3_Y07780	2.44556421134899
fosA_2_AGDM01000012	2.46325359183225
fosA7_1_LAPJ01000014	2.46431313506426
blaTEM-232_1_MH079593	2.47937909431323
blaCMY-8b_1_DQ094251	2.49884195312534
qnrB77_1_KM985470	2.50730856788554
