gene	log2FoldChange
blaTEM-182_1_HQ317449	0.890968813296838
blaTEM-55_1_DQ286729	0.904491495188113
blaTEM-128_1_AY368237	0.913678734310799
blaCMY-33_1_EU496816	0.915183000469411
blaCMY-38_1_AM931008	0.916327811170816
blaCTX-M-180_1_KX056899	0.925784836032148
blaTEM-214_1_KP050491	0.927687356159407
blaTEM-210_1_KJ484630	0.946525046235113
blaCTX-M-42_1_DQ061159	0.949952080138918
blaCARB-16_1_HF953351	0.951638295235656
blaTEM-97_1_AF397067	0.959144041308239
blaTEM-163_1_EU815939	0.961487967568172
blaTEM-127_1_AY368236	0.963595488059848
blaTEM-226_1_KY646301	0.970595981756577
blaACT-9_1_HQ693810	0.972997396540765
blaNDM-23_1_MH450214	0.977200696105792
blaTEM-95_1_AJ308558	0.988024582243824
blaTEM-76_1_AF190694	0.990131014171632
blaCMY-154_1_MF196231	0.991163972707327
blaTEM-135_1_GQ896333	1.00080340531721
blaTEM-201_1_JX310327	1.00258134266164
blaCMY-30_1_LMYO01000054	1.00829863056715
blaTEM-209_1_KF240808	1.01639689107075
blaTEM-164_1_EU274580	1.02596824267518
blaPER-3_1_AY740681	1.02602925460866
blaTEM-186_1_JN227084	1.02726925520687
blaTEM-196_1_JQ034306	1.0298565782728
blaCMY-145_1_KX470426	1.03122021298207
blaCMY-54_1_HM544039	1.03990856151793
blaCMY-31_1_EF622224	1.04066619117688
erm(Y)_1_AB014481	1.04888790829233
blaTEM-126_1_AY628199	1.04946883973912
blaVIM-37_1_JX982636	1.05649044029927
blaTEM-213_1_LJEE02000034	1.05854279899541
aph(3')-Ib_2_AJ744860	1.05905028323303
blaCMY-130_1_KP207589	1.06274283883028
blaLAT-1_1_X78117	1.06500977053084
blaCMY-32_1_EU496815	1.07079683500668
blaTEM-220_1_KM998962	1.07143853270183
aac(3)-IId_1_EU022314	1.07216166231573
tet(L)_4_D00006	1.08365140037227
blaCMY-69_1_JX049132	1.087166398524
blaCARB-49_1_KX599396	1.08779889153436
blaCMY-125_1_KM985463	1.09083302281849
blaPAO_4_AY083592	1.09380293981267
blaCMY-58_1_HQ185697	1.09428201008698
blaCMY-99_1_KF305673	1.0980876271717
blaIMP-4_1_DQ307573	1.09910624074731
blaTEM-132_1_AY491682	1.10276876779201
blaTEM-169_1_KP012538	1.10287586639624
blaTEM-219_1_KM114268	1.10601246048487
fosA_6_ACZD01000244	1.10611400174742
aph(3')-Ia_10_EU855787	1.12832138116793
blaNDM-5_1_JN104597	1.12932208421454
qnrB6_2_EF523819	1.13048152860432
blaVIM-12_1_DQ143913	1.1314745008537
tet(B)_1_AP000342	1.13707159711326
blaCMY-61_1_JF460795	1.14026690376256
blaTEM-216_1_KF944358	1.14087657362282
crpP_1_HM560971	1.14317010216894
blaCMY-56_1_HQ322613	1.14623179830609
aac(3)-IIa_4_L22613	1.1480407967187
dfrA5_4_AY139589	1.15241204035009
blaCMY-35_1_EF394371	1.15354614102402
blaCMY-121_1_KM507172	1.15612590363255
blaCMY-18_1_AY743434	1.15741300727929
blaCMY-149_1_KY624574	1.16183783747167
aadA11_1_AY144590	1.16190553064024
blaCMY-146_1_KX034085	1.16552706479366
aac(2')-Ia_1_L06156	1.16750453486598
dfrA15_1_AF156486	1.17544855894237
aph(3')-Ia_9_EU722351	1.17627977844502
blaTEM-143_1_DQ075245	1.1771662127288
tet(33)_2_DQ390458	1.17902756662104
mph(F)_1_AM260957	1.18629338576691
blaTEM-77_1_AF190695	1.18741199579588
blaCMY-147_1_KY563765	1.18749881166256
blaCMY-5_1_Y17716	1.1877622059014
blaDHA-1_1_Y16410	1.19494047109428
blaVIM-43_1_KP096412	1.19647378081393
blaVIM-1_1_Y18050	1.1979542507584
blaCMY-25_1_EU515249	1.2004044811908
blaBIL-1_1_X74512	1.20817683406926
blaCMY-40_1_EU515251	1.21710243664427
cphA2_6_AHU60294	1.22277010059795
blaCMY-141_1_KX537750	1.23172575708268
tet(B)_3_AJ277653	1.23469490389569
tet(T)_1_L42544	1.23805920846917
dfrA3_1_J03306	1.23860763775614
blaCMY-42_1_HM146927	1.24229535388089
blaCMY-140_1_KX354367	1.24775853797993
blaCMY-23_1_DQ438952	1.25269662404681
blaCMY-4_1_LNHZ01000079	1.25295754142412
blaTEM-234_1_MH243353	1.25605776906828
tet(Y)_2_AB089606	1.26044688491155
blaCMY-62_1_JF460796	1.26160956629649
dfrA20_1_AJ605332	1.26265264248978
erm(B)_12_U18931	1.26462629719465
qnrB1_1_DQ351241	1.26485186669942
dfrA5_2_FJ001870	1.26991714521533
blaCMY-107_1_GQ162215	1.27396817608923
blaCMY-156_1_MF770636	1.27873047448191
blaCMY-2b_1_U77414	1.27885599722151
blaCTX-M-73_1_DQ343292	1.27940005961358
blaCMY-24_1_EF415650	1.2823786212927
qnrD1_1_FJ228229	1.2904341158531
blaCMY-148_1_KY624573	1.29151569611604
blaCMY-20_1_AY960293	1.29593245442282
blaCMY-55_1_HM544040	1.30042412616342
blaTEM-232_1_MH079593	1.30089492869938
qnrD2_1_KF055448	1.30789256572118
blaCMY-111_1_KJ155695	1.30904461972042
blaCMY-153_1_MF042206	1.31349325382626
blaCMY-28_1_EF561644	1.31395542165683
blaCMY-131_1_KP281294	1.31399801360093
blaCMY-2_1_X91840	1.31457103007628
blaTEM-1B_1_AY458016	1.31482719802584
blaCMY-34_1_EF394370	1.32603357069782
blaTEM-206_1_KC783461	1.32657871213867
blaCMY-60_1_JF460794	1.32959309651867
blaCARB-5_1_AF135373	1.33030958509321
blaCMY-14_1_AJ555825	1.33143051444574
