"r"	"p"	"p.ad"	"Gene"
0.905517938370044	7.24271767620068e-24	6.83568377848198e-26	"sul1_17_AM746675"
0.915491616557954	3.82706566755605e-25	2.13435665715267e-27	"sul1_18_AY260546"
0.923812585970699	2.44382379148016e-26	8.38721163957154e-29	"sul1_19_DQ125241"
0.913906358082898	5.5468473411124e-25	3.80735982229938e-27	"sul1_20_JF262165"
0.914215209766181	5.29036134736182e-25	3.40435093137827e-27	"sul1_21_AJ971344"
0.911278085740298	1.25645918578423e-24	9.70238753501338e-27	"sul1_22_AY115475"
0.938776428823113	1.01485035052402e-28	8.70742471492081e-32	"sul1_23_AJ621187"
0.911645800940015	1.16922391091198e-24	8.52715850943957e-27	"sul1_24_EU117158"
0.901851286829245	2.07153716388116e-23	2.22172582998837e-25	"sul1_25_AY878717"
0.918841564007097	1.28129696582508e-25	6.046446428175e-28	"sul1_26_AY524415"
0.917592255152049	1.89171438309059e-25	9.73855538270576e-28	"sul1_27_GU562437"
0.900379316421523	3.15590706373464e-23	3.52010225899187e-25	"sul1_28_JN790946"
0.90673962992788	5.07600573616784e-24	4.56632106365996e-26	"sul1_29_AJ746361"
0.91014647890328	1.76487894364602e-24	1.43855426552014e-26	"sul1_30_JF262178"
0.906735248528355	5.07600573616784e-24	4.57297814069175e-26	"sul1_31_AM040449"
0.903954928621765	1.10367201771269e-23	1.13634184577883e-25	"sul1_32_EF592571"
0.934744750260281	5.04523152928948e-28	6.49321947141503e-31	"sul1_33_AJ564903"
0.548530945406782	4.23227930259342e-05	1.54330219099288e-06	"sul2_1_AF542061"
0.458276638778279	0.00211725005118115	9.62799251073368e-05	"sul2_2_AY034138"
0.502850155310978	0.00035139949218302	1.44720511581166e-05	"sul2_3_HQ840942"
0.265600743481877	0.261157374147805	0.0298328657822953	"sul2_5_AY524415"
0.463807625993487	0.0017466308901787	7.71784563227825e-05	"sul2_6_FN995456"
0.442889114165737	0.00360333452511696	0.000174679022453117	"sul2_7_HM486907"
0.526540230590163	0.000122280769888206	4.72126524664888e-06	"sul2_8_AJ877041"
0.467024837273358	0.00154815152252667	6.77440820668043e-05	"sul2_9_FJ197818"
